score,pd
400,0.8896816227354479
410,0.8896816227354479
420,0.8847234995398228
430,0.8742244763577639
440,0.8629173952558319
450,0.8521414577132791
460,0.8421246407985642
470,0.8315633588473625
480,0.8204462048055867
490,0.8082045292654031
500,0.7947476098265486
510,0.7806028227112823
520,0.7657705476891793
530,0.7198243148278286
540,0.6760231569788844
550,0.6236920319521363
560,0.6066934064535856
570,0.5880163967365168
580,0.5676477244303632
590,0.5665202623565239
600,0.5081869290231904
610,0.44152026235652375
620,0.41185339925941095
630,0.39159113000350526
640,0.38037549984763586
650,0.36681129800718204
660,0.3053129368815159
670,0.273114078358505
680,0.2657705476891793
690,0.24127557301761748
700,0.2183667673206433
710,0.1970681551945568
720,0.19095179637061663
730,0.18498153556729796
740,0.17915660443025677
750,0.1649645509125264
760,0.14406012792155906
770,0.12540689368459657
780,0.10886174027424907
790,0.10886174027424907
800,0.10886174027424907
